Fluor,BUV395,LIVE DEAD Blue,BUV496,BUV563,BUV661,BUV737,BUV805,BV421,eFluor 450,violetFluor 450,Pacific Blue,CellTrace Violet,BV480,BV510,eFluor 506,V500,BV570,Zombie Yellow,Super Bright 600,BV605,BV650,BV711,BV750,Super Bright 780,BV786,BV785,GFP,Alexa Fluor 488,FITC,Zombie Green,CFSE,Spark Blue 550,Alexa Fluor 532,LIVE DEAD Green,NovaFluor Blue 610-70S,PerCP,PerCP-Cy5.5,PerCP-eFluor 710,PE,Spark YG 570,PE-eFluor 610,PE-CF594,PE-Dazzle 594,PE-Texas Red,Alexa Fluor 594,mCherry,PE-Fire 640,7-AAD,PE-Cy5,PE-Cy5.5,PE-Fire 700,NovaFluor Yellow 730,PE-Cy7,NovaFluor Yellow 755,PE-Fire 810,APC,eFluor 660,Alexa Fluor 647,Spark NIR 685,R718,Alexa Fluor 700,Zombie NIR,APC-Vio 770,APC-Cy7,APC-Fire 750,Ghost Dye Red 780,APC-Fire 810
BUV395,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIVE DEAD Blue,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUV496,0.22,0.52,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUV563,0.08,0.12,0.34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUV661,0.02,0.02,0.02,0.06,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUV737,0.03,0.03,0.01,0.02,0.33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUV805,0.11,0.1,0.05,0.02,0.09,0.41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BV421,0.08,0.32,0.09,0.01,0,0,0.01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eFluor 450,0.02,0.26,0.08,0.01,0,0,0,0.85,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
violetFluor 450,0.01,0.25,0.08,0.01,0,0,0,0.84,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Blue,0.02,0.25,0.11,0.01,0,0,0,0.78,0.97,0.98,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CellTrace Violet,0.04,0.29,0.18,0.03,0,0,0.01,0.75,0.95,0.95,0.99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BV480,0.05,0.22,0.42,0.1,0.01,0,0.01,0.27,0.44,0.44,0.56,0.66,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BV510,0.05,0.2,0.53,0.26,0.04,0.02,0.02,0.16,0.25,0.25,0.33,0.44,0.85,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eFluor 506,0.01,0.08,0.29,0.05,0,0,0,0.13,0.23,0.23,0.31,0.42,0.87,0.89,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V500,0.01,0.08,0.29,0.06,0.01,0,0,0.15,0.25,0.25,0.34,0.45,0.89,0.92,0.99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BV570,0.01,0.05,0.1,0.39,0.06,0.02,0.01,0.16,0.15,0.15,0.15,0.17,0.24,0.5,0.26,0.34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zombie Yellow,0,0.03,0.15,0.15,0.06,0.03,0.01,0.04,0.06,0.06,0.09,0.15,0.42,0.73,0.51,0.59,0.82,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
